Channel,Counts
0,3944
1,3849
2,3910
3,4049
4,3856
5,3932
6,3957
7,3975
8,3831
9,3972
10,3903
11,4009
12,3886
13,3855
14,4030
15,3946
16,3901
17,3995
18,3924
19,3878
20,3995
21,3923
22,3861
23,3958
24,3925
25,4065
26,3994
27,3814
28,3949
29,3902
30,3943
31,3875
32,3894
33,3997
34,3828
35,3966
36,3835
37,4017
38,4112
39,3896
40,3981
41,3907
42,3909
43,3948
44,3811
45,3985
46,3916
47,3999
48,3970
49,3954
50,3869
51,3950
52,3980
53,4012
54,3987
55,3936
56,3935
57,3988
58,3938
59,4019
60,3910
61,3897
62,3985
63,3972
64,3889
65,4005
66,3993
67,3931
68,3935
69,3943
70,3983
71,3994
72,3921
73,3836
74,3901
75,3869
76,3953
77,3963
78,3805
79,3892
80,3825
81,3914
82,3853
83,3813
84,3817
85,3921
86,3786
87,3818
88,3926
89,3902
90,3798
91,3841
92,3883
93,3921
94,3864
95,3903
96,3859
97,3763
98,3863
99,3783
100,3814
101,3796
102,3851
103,3761
104,3697
105,3842
106,3670
107,3747
108,3587
109,3780
110,3564
111,3642
112,3694
113,3622
114,3581
115,3454
116,3374
117,3372
118,3460
119,3358
120,3285
121,3313
122,3138
123,3037
124,3062
125,2987
126,2933
127,2952
128,2904
129,2884
130,2940
131,2802
132,2804
133,2766
134,2683
135,2699
136,2795
137,2889
138,2816
139,2872
140,2925
141,3105
142,2979
143,3125
144,3034
145,3167
146,3263
147,3327
148,3295
149,3454
150,3444
151,3394
152,3523
153,3513
154,3454
155,3506
156,3591
157,3603
158,3555
159,3686
160,3701
161,3786
162,3770
163,3694
164,3721
165,3801
166,3824
167,3840
168,3812
169,3819
170,3777
171,3885
172,3835
173,3830
174,3825
175,3908
176,3827
177,3825
178,3757
179,3914
180,3871
181,3821
182,3719
183,3919
184,3825
185,3915
186,3879
187,3952
188,3887
189,3837
190,3907
191,3929
192,3952
193,3938
194,3819
195,3884
196,3867
197,3844
198,4024
199,3937
200,3884
201,3907
202,3940
203,3915
204,3821
205,3819
206,3776
207,3879
208,3981
209,3930
210,3958
211,4005
212,3986
213,3880
214,4023
215,3901
216,3943
217,3893
218,3948
219,3961
220,3931
221,3848
222,3893
223,4029
224,3846
225,4059
226,4018
227,3784
228,3936
229,4003
230,3986
231,3857
232,3867
233,3888
234,3804
235,3873
236,3885
237,3933
238,3898
239,3843
240,3898
241,3909
242,3853
243,3896
244,3883
245,3822
246,3848
247,3850
248,3832
249,3887
250,3750
251,3723
252,3908
253,3795
254,3865
255,3846
256,3728
257,3727
258,3690
259,3868
260,3710
261,3675
262,3749
263,3587
264,3618
265,3650
266,3674
267,3545
268,3567
269,3557
270,3498
271,3546
272,3483
273,3384
274,3454
275,3366
276,3192
277,3214
278,3156
279,3150
280,3012
281,2949
282,2835
283,2910
284,2906
285,2875
286,2804
287,2754
288,2723
289,2785
290,2673
291,2828
292,2916
293,2831
294,2870
295,3020
296,2950
297,3014
298,3085
299,3140
300,3261
301,3161
302,3323
303,3250
304,3411
305,3424
306,3448
307,3523
308,3569
309,3513
310,3587
311,3705
312,3659
313,3609
314,3649
315,3643
316,3725
317,3709
318,3864
319,3708
320,3772
321,3821
322,3873
323,3825
324,3921
325,3853
326,3857
327,3968
328,3900
329,3750
330,3810
331,3950
332,3923
333,3874
334,3810
335,3665
336,3865
337,3854
338,4002
339,3848
340,3937
341,3971
342,3981
343,3853
344,3976
345,4089
346,3836
347,3981
348,3934
349,3961
350,4021
351,3939
352,3782
353,3867
354,3868
355,3905
356,3955
357,3933
358,3856
359,4020
360,3906
361,3952
362,4043
363,3798
364,3875
365,4031
366,3982
367,3950
368,3963
369,3902
370,3959
371,3976
372,4000
373,3864
374,3949
375,3976
376,3883
377,3832
378,3992
379,3925
380,3926
381,3960
382,3932
383,3914
384,3914
385,3945
386,4012
387,3907
388,4036
389,3932
390,3969
391,3954
392,4058
393,3959
394,3972
395,3904
396,4000
397,3947
398,4033
399,3866
400,3903
401,3917
402,3884
403,3953
404,3881
405,3884
406,3956
407,4031
408,3975
409,3924
410,3915
411,3892
412,3985
413,3917
414,3810
415,3891
416,3792
417,3802
418,3808
419,3899
420,3829
421,3726
422,3890
423,3695
424,3819
425,3735
426,3703
427,3778
428,3684
429,3726
430,3607
431,3682
432,3633
433,3530
434,3524
435,3439
436,3358
437,3309
438,3334
439,3319
440,3225
441,3052
442,3169
443,3184
444,3160
445,3172
446,3154
447,3172
448,3301
449,3256
450,3332
451,3342
452,3408
453,3519
454,3537
455,3577
456,3713
457,3575
458,3701
459,3685
460,3706
461,3744
462,3749
463,3769
464,3861
465,3775
466,3811
467,3806
468,3800
469,3895
470,3826
471,3804
472,3884
473,3735
474,3891
475,3960
476,3963
477,3835
478,3953
479,3915
480,3992
481,4003
482,3831
483,4004
484,3836
485,3934
486,3908
487,3830
488,3845
489,3938
490,4055
491,3905
492,3939
493,3903
494,4006
495,4058
496,3913
497,3984
498,4000
499,3887
500,4020
501,3860
502,3895
503,3829
504,3948
505,3917
506,3963
507,3854
508,3850
509,3975
510,3848
511,3891
512,3903
513,3851
514,3951
515,3923
516,3970
517,3926
518,4025
519,4005
520,3852
521,3995
522,3901
523,3863
524,3833
525,3868
526,3890
527,3923
528,3984
529,3906
530,3854
531,3808
532,3828
533,3840
534,3874
535,3893
536,3927
537,3948
538,3894
539,3757
540,3825
541,3788
542,3718
543,3777
544,3707
545,3797
546,3622
547,3706
548,3610
549,3768
550,3696
551,3608
552,3423
553,3493
554,3285
555,3357
556,3293
557,3229
558,3175
559,3124
560,3227
561,3136
562,3115
563,3071
564,3175
565,3259
566,3256
567,3283
568,3279
569,3397
570,3451
571,3486
572,3510
573,3591
574,3570
575,3665
576,3681
577,3807
578,3718
579,3688
580,3760
581,3752
582,3915
583,3809
584,3821
585,3809
586,3758
587,3811
588,3836
589,3892
590,3849
591,3942
592,3882
593,3927
594,3904
595,3945
596,3981
597,3852
598,3933
599,3935
600,3916
601,3994
602,4098
603,4007
604,4073
605,3874
606,3943
607,3885
608,3970
609,3950
610,3940
611,3980
612,3987
613,4039
614,3841
615,3996
616,3975
617,4036
618,4018
619,3937
620,3970
621,3904
622,3989
623,3931
624,3932
625,3899
626,3942
627,3959
628,3945
629,4032
630,3808
631,3991
632,3968
633,3912
634,4068
635,3909
636,3975
637,3936
638,3951
639,3964
640,4024
641,3794
642,3924
643,3853
644,4032
645,3977
646,3921
647,3891
648,3987
649,3848
650,3938
651,3936
652,3947
653,3950
654,3914
655,3912
656,3828
657,3894
658,3960
659,3964
660,3971
661,3939
662,3906
663,3953
664,3921
665,4012
666,3953
667,3845
668,3956
669,3870
670,3849
671,3844
672,3973
673,3925
674,3914
675,3932
676,3784
677,3881
678,3969
679,3878
680,3755
681,3836
682,3824
683,3749
684,3789
685,3807
686,3769
687,3714
688,3842
689,3739
690,3731
691,3753
692,3721
693,3578
694,3655
695,3566
696,3573
697,3592
698,3593
699,3424
700,3514
701,3436
702,3370
703,3327
704,3405
705,3311
706,3297
707,3176
708,3168
709,3165
710,3055
711,3076
712,2867
713,2942
714,2924
715,2793
716,2787
717,2778
718,2774
719,2727
720,2789
721,2792
722,2821
723,2900
724,2849
725,2966
726,2960
727,3018
728,3066
729,3090
730,3151
731,3137
732,3247
733,3326
734,3470
735,3392
736,3511
737,3627
738,3517
739,3574
740,3608
741,3595
742,3619
743,3660
744,3603
745,3622
746,3689
747,3823
748,3760
749,3832
750,3841
751,3841
752,3715
753,3794
754,3838
755,3741
756,3836
757,3788
758,3787
759,3883
760,3866
761,3839
762,3836
763,3812
764,3891
765,3875
766,3842
767,3937
768,3897
769,3859
770,3947
771,3861
772,3886
773,3784
774,3912
775,3954
776,3971
777,3855
778,3839
