Channel,Counts
0,299691
1,300266
2,299318
3,299148
4,299786
5,300059
6,300197
7,299582
8,298987
9,299911
10,299915
11,300053
12,300282
13,299364
14,300833
15,301014
16,300175
17,299602
18,300762
19,300610
20,300442
21,300127
22,300672
23,300650
24,300737
25,299696
26,300356
27,301139
28,301095
29,300309
30,301124
31,299680
32,299806
33,300527
34,300224
35,300378
36,299666
37,300815
38,300588
39,300580
40,300479
41,299530
42,300078
43,300444
44,300576
45,299791
46,301405
47,300775
48,300809
49,300995
50,300628
51,300202
52,300020
53,300487
54,300141
55,301944
56,300604
57,299945
58,300673
59,299870
60,300772
61,301437
62,300719
63,301645
64,301001
65,301179
66,301459
67,300460
68,300456
69,300740
70,300671
71,300293
72,300814
73,301082
74,299670
75,301509
76,301163
77,300831
78,301781
79,301092
80,300718
81,301414
82,301493
83,301242
84,300704
85,301284
86,301908
87,300829
88,299664
89,301462
90,301419
91,301260
92,301085
93,301511
94,300750
95,300315
96,301212
97,300967
98,301012
99,302000
100,302121
101,301357
102,300383
103,301541
104,301403
105,301590
106,301825
107,300899
108,301816
109,301477
110,301068
111,302663
112,301569
113,302157
114,300898
115,301534
116,302721
117,301319
118,301128
119,301348
120,301453
121,301089
122,301665
123,301831
124,301388
125,301794
126,303336
127,301694
128,302055
129,300879
130,302355
131,301466
132,301436
133,301629
134,302332
135,301455
136,301277
137,301541
138,301852
139,300995
140,301184
141,301707
142,303500
143,301899
144,301933
145,302879
146,302610
147,300992
148,301880
149,301827
150,301521
151,302491
152,301212
153,302056
154,300716
155,301709
156,302204
157,301988
158,302635
159,302459
160,302332
161,302555
162,301503
163,302402
164,301956
165,302522
166,302555
167,302537
168,301097
169,302219
170,302167
171,301849
172,302261
173,301989
174,301926
175,301770
176,301566
177,303082
178,302853
179,303042
180,302225
181,301423
182,302511
183,302806
184,302345
185,301484
186,302588
187,302147
188,302541
189,302138
190,302615
191,303871
192,302617
193,302352
194,302176
195,302345
196,302849
197,302592
198,303934
199,301821
200,302957
201,302606
202,302459
203,302295
204,302184
205,302559
206,302247
207,303734
208,302971
209,301411
210,303723
211,303059
212,302144
213,302073
214,303077
215,302860
216,302591
217,303155
218,302772
219,301836
220,302855
221,302868
222,302318
223,301768
224,303670
225,302906
226,302746
227,303057
228,303518
229,303467
230,302729
231,302924
232,303102
233,303077
234,303113
235,303478
236,302849
237,302781
238,302875
239,302239
240,302638
241,303434
242,303394
243,302696
244,302845
245,302501
246,303217
247,302652
248,303419
249,302942
250,302708
251,303085
252,303836
253,302295
254,302931
255,303082
256,302070
257,302535
258,303380
259,303041
260,303431
261,303299
262,302366
263,302848
264,303490
265,302713
266,303396
267,302336
268,303703
269,303302
270,303735
271,304660
272,302873
273,302214
274,303306
275,302979
276,303286
277,303054
278,302924
279,303470
280,302362
281,303520
282,302973
283,302430
284,303350
285,302069
286,303418
287,302245
288,303657
289,302986
290,304167
291,302927
292,302321
293,303642
294,303618
295,302715
296,303526
297,304086
298,303235
299,303626
300,302078
301,302858
302,303559
303,303761
304,302887
305,303165
306,303872
307,303486
308,301773
309,302659
310,302985
311,302671
312,303489
313,302888
314,302797
315,303736
316,303155
317,303933
318,304125
319,303426
320,302666
321,302408
322,303257
323,302580
324,303285
325,303847
326,303547
327,303984
328,302234
329,303483
330,303951
331,303446
332,302745
333,302895
334,303883
335,303472
336,303506
337,303654
338,302701
339,302798
340,304022
341,303495
342,303090
343,304063
344,303850
345,304241
346,302907
347,303605
348,303915
349,303276
350,302630
351,303561
352,302644
353,303744
354,303078
355,304010
356,303022
357,302949
358,303542
359,302118
360,302876
361,302082
362,303830
363,302346
364,303542
365,303295
366,302917
367,303724
368,302543
369,304346
370,303222
371,304146
372,303202
373,303484
374,303071
375,303946
376,302875
377,304596
378,303722
379,303399
380,303076
381,302856
382,303484
383,302280
384,303404
385,303747
386,303020
387,302352
388,302477
389,303459
390,303159
391,304364
392,302647
393,303585
394,304340
395,303741
396,302948
397,302769
398,303059
399,304185
400,303515
401,302967
402,303255
403,302867
404,302755
405,304134
406,303022
407,303221
408,304022
409,303385
410,303069
411,302745
412,302952
413,303094
414,303012
415,303602
416,302349
417,303036
418,302982
419,302985
420,302146
421,303251
422,301937
423,301401
424,302703
425,301705
426,302960
427,302983
428,302158
429,303241
430,301582
431,302449
432,302998
433,302042
434,302238
435,301702
436,300342
437,301827
438,299812
439,301275
440,301361
441,301068
442,300281
443,300871
444,299874
445,299499
446,299361
447,298613
448,298393
449,296442
450,296344
451,295151
452,293974
453,293634
454,292827
455,290955
456,290893
457,289126
458,287084
459,286207
460,285130
461,286298
462,285774
463,286172
464,287372
465,289155
466,290860
467,290105
468,292637
469,293084
470,295019
471,295328
472,295624
473,297222
474,298182
475,298393
476,299216
477,298618
478,299685
479,301087
480,300657
481,301851
482,301437
483,301632
484,301484
485,301036
486,302119
487,302380
488,302661
489,302378
490,302445
491,302590
492,301790
493,302467
494,302313
495,301918
496,302247
497,302633
498,302517
499,303519
500,303413
501,302359
502,303111
503,302174
504,302657
505,302575
506,302789
507,302895
508,304061
509,302902
510,304031
511,301967
512,302906
513,303761
514,302630
515,303874
516,303361
517,302440
518,301253
519,302397
520,302494
521,303125
522,302980
523,302516
524,303169
525,302869
526,303484
527,303701
528,303402
529,303109
530,302842
531,303409
532,302973
533,303189
534,303242
535,302409
536,302932
537,303269
